Compze.Utilities.SystemCE	Class	VolatileLambdaTransactionParticipantExtensions	Compze.Utilities.SystemCE\TransactionsCE\VolatileLambdaTransactionParticipantExtensions.cs
Compze.Utilities.SystemCE	Class	ComponentUsedByMultipleTransactionsException	Compze.Utilities.SystemCE\UsageGuards\ComponentUsedByMultipleTransactionsException.cs
Compze.Utilities.Testing.Must	Class	AssertionContext	Compze.Utilities.Testing.Must\_Must.cs
Compze.Utilities.Testing.Must	Class	AssertionContextWriter	Compze.Utilities.Testing.Must\AssertionContextWriter.cs
Compze.Utilities.Testing.Must	Class	CallName	Compze.Utilities.Testing.Must\CallName.cs
Compze.Utilities.Testing.Must	Class	DiffGenerator	Compze.Utilities.Testing.Must\DiffGenerator.cs
Compze.Utilities.Testing.Must	Class	InvokingMustThrowExtensions	Compze.Utilities.Testing.Must\MustActions.cs
Compze.Utilities.Testing.Must	Class	AllMembersContractResolver	Compze.Utilities.Testing.Must\Serialization\AllMembersContractResolver.cs
Compze.Utilities.Testing.Must	Class	DeterministicOrderedForUnorderedCollectionsConverter	Compze.Utilities.Testing.Must\Serialization\DeterministicOrderedForUnorderedCollectionsConverter.cs
Compze.Utilities.Testing.Must	Class	ExceptionJsonConverter	Compze.Utilities.Testing.Must\Serialization\ExceptionJsonConverter.cs
Compze.Utilities.Testing.Must	Class	ExcludingMembersContractResolver	Compze.Utilities.Testing.Must\Serialization\ExcludingMembersContractResolver.cs
Compze.Utilities.Testing.Must	Class	InternalMembersContractResolver	Compze.Utilities.Testing.Must\Serialization\InternalMembersContractResolver.cs
Compze.Utilities.Testing.Must	Class	PublicMembersContractResolver	Compze.Utilities.Testing.Must\Serialization\PublicMembersContractResolver.cs
Compze.Utilities.Testing.Must	Class	TestingJsonSettings	Compze.Utilities.Testing.Must\Serialization\TestingJsonSettings.cs
Compze.Utilities.Testing.XUnit	Class	ArgumentDiscardingTestCase	Compze.Utilities.Testing.XUnit\ArgumentDiscardingTestCase.cs
Compze.Utilities.Testing.XUnit	Class	ExclusiveFactDiscoverer	Compze.Utilities.Testing.XUnit\BDD\ExclusiveFactDiscoverer.cs
Compze.Utilities.Testing.XUnit	Class	ExclusiveFactTestCase	Compze.Utilities.Testing.XUnit\BDD\ExclusiveFactTestCase.cs
Compze.Utilities.Testing.XUnit	Class	ComponentCombinationsConfigurationFileLine	Compze.Utilities.Testing.XUnit\ComponentCombinations\ComponentCombinationsConfigurationFileLine.cs
Compze.Utilities.Testing.XUnit	Class	ComponentCombinationsConfigurationFileReader	Compze.Utilities.Testing.XUnit\ComponentCombinations\ComponentCombinationsConfigurationFileReader.cs
Compze.Utilities.Testing.XUnit	Class	ComponentCombinationTestCase	Compze.Utilities.Testing.XUnit\ComponentCombinations\ComponentCombinationTestCase.cs
Compze.Utilities.Testing.XUnit	Class	ComponentCombinationsTheoryDiscoverer	Compze.Utilities.Testing.XUnit\ComponentCombinations\PluggableComponentsTheoryDiscoverer.cs
Compze.Utilities.Tests	Class	ArgumentPassingOneComponentPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\1Component\ArgumentPassing\ArgumentPassingOneComponentsPCTAttribute.cs
Compze.Utilities.Tests	Class	NotArgumentPassingOneComponentsPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\1Component\NotArgumentPassing\NotArgumentPassingOneComponentsPCTAttribute.cs
Compze.Utilities.Tests	Class	ArgumentPassingTwoComponentsPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\2Components\ArgumentPassing\ArgumentPassingOneComponentsPCTAttribute.cs
Compze.Utilities.Tests	Class	NotArgumentPassingTwoComponentsPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\2Components\NotArgumentPassing\NoArgumentPassingPCTAttribute.cs
Compze.Utilities.Tests	Class	ArgumentPassingThreeComponentsPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\3Components\ArgumentPassing\ArgumentPassingThreeComponentsPCTAttribute.cs
Compze.Utilities.Tests	Class	WildcardTestAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\3Components\Wildcards\WildcardTestAttribute.cs
Compze.Utilities.Tests	Class	ArgumentPassingFourComponentsPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\4Components\ArgumentPassing\ArgumentPassingFourComponentsPCTAttribute.cs
Compze.Utilities.Tests	Class	ArgumentPassingFiveComponentsPCTAttribute	..\test\Compze.Utilities.Tests\Testing\Xunit\ComponentCombinations\5Components\ArgumentPassing\ArgumentPassingFiveComponentsPCTAttribute.cs
